State/UT,Year,population(total),Rural,Urban,Tot_M,Tot_F,P_LIT,M_LIT,F_LIT,Lit_rate,Area (km2),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes,tot_crimes_sc,total crime against women,Total crimes against STs,Total crime against children,Crime Rate
MADHYA PRADESH,2001,6038023,44380878,15967145,31443652,28904371,31592563,19672274,11920289,63.74,308245,2425,2870,125,2851,0,2851,956,668,288,166,130,1764,13549,20263,4535,15728,3395,481,1413,19,1014,30895,609,7063,751,2562,0,3297,85143,181741,387552,4212,14504,1535,1425,3009.942162
MAHARASHTRA,2001,968786,55777647,41100980,50400596,46478031,63965943,37184963,26780980,76.84,307713,2839,1454,101,1302,0,1302,985,611,374,529,328,2239,15073,39866,8873,30993,6719,1542,4273,265,1208,30212,308,2823,1120,6090,1,8993,42963,171233,384619,625,12255,238,1621,17675.00769
MANIPUR,2001,2166788,1590820,575968,1095634,1071154,1310534,753466,557068,70.5,22327,209,168,5,20,0,20,94,62,32,20,17,19,75,217,71,146,131,33,66,20,64,201,0,21,0,5,0,7,1097,2489,5309,0,108,0,0,114.8704903
MEGHALAYA,2001,2318822,1864711,454111,1176087,1142735,1157875,614272,543603,62.56,22429,0,47,2,26,0,26,55,11,44,97,3,125,170,271,16,255,8,19,29,3,26,102,0,25,0,4,0,0,511,1687,3562,0,66,0,0,72.75245793
MIZORAM,2001,888573,447567,441006,459109,429464,661445,350105,311340,88.8,21081,31,15,5,52,0,52,2,1,1,3,0,23,417,878,17,861,3,23,71,12,24,94,0,52,0,16,3,23,499,2246,5424,1,124,10,0,252.7648263
NAGALAND,2001,1990036,1647249,342787,1047141,942895,1132323,640201,492122,66.59,1483,101,39,9,17,0,17,23,6,17,11,0,129,163,258,89,169,2,20,34,2,1,37,0,6,0,0,0,19,363,1234,2766,1,29,310,0,62.00892848
ODISHA,2001,36804660,31287422,5517238,18660570,18144090,19837055,11992333,7844722,63.08,155707,987,1151,53,790,0,790,522,434,88,199,22,958,3093,5622,817,4805,1426,285,681,10,423,4367,294,1655,458,1266,0,1589,20810,46661,100256,27,4331,0,68,126.7801414
PUDUCHERRY,2001,974345,325726,648619,486961,487384,696367,378758,317609,81.24,479,25,32,1,9,0,9,4,3,1,1,0,4,111,528,284,244,100,5,23,3,31,635,1,35,27,3,0,166,2324,4068,8677,0,111,0,5,417.5112511
PUNJAB,2001,24358999,16096488,8262511,12985045,11373954,14756970,8442293,6314677,69.65,50362,738,789,80,298,0,298,513,324,189,45,84,131,1902,3023,1204,1819,1,368,2621,58,63,3996,159,372,47,1128,0,2154,9204,27774,59382,0,2249,0,123,114.0194636
RAJASTHAN,2001,56507188,43292813,13214375,29420011,27087177,27702010,18047157,9654853,60.41,342239,1259,1923,63,1049,0,1049,2718,2165,553,60,40,889,7284,16939,4324,12615,11214,1026,6644,89,1092,27485,376,2878,56,5532,1,4221,62347,155185,331076,0,11934,1023,218,274.6287782
